file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,51,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,1,12
style.css,52,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,1,30
style.css,53,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,1,7
style.css,54,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,0
style.css,55,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,0
style.css,56,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,11
style.css,57,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,13
style.css,58,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,1,18
style.css,59,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,0
style.css,60,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,0
style.css,61,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,12
style.css,62,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,1,12
style.css,63,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,1,29
style.css,64,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,0
style.css,65,css,0ca3efe7,Marianne Sawires,2025-10-08,20:40:52,-07:00,2025-10-08T20:40:52-07:00,0,0
style.css,66,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,9
style.css,67,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,12
style.css,68,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,58
style.css,69,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,7
style.css,70,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,71,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,72,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,19
style.css,73,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,12
style.css,74,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,26
style.css,75,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,15
style.css,76,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,7
style.css,77,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,78,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,79,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,12
style.css,80,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,8
style.css,81,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,82,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,83,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,1
style.css,84,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,1
style.css,85,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,1
style.css,86,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,1
style.css,87,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,1
style.css,88,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,2
style.css,89,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,15
style.css,90,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,1,17
style.css,91,css,c172ba46,Marianne Sawires,2025-10-08,20:57:40,-07:00,2025-10-08T20:57:40-07:00,0,0
style.css,92,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,93,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,10
style.css,94,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,1,17
